CÓDIGO;MATERIAL;DIM1;DIM2;PERIMETRO;MEDIDA
CMPREST000238;PERFIL W 150 X 18,0 - ACO ASTM A572 G50 - 12M;12000;1;360.4;UN
CMPREST000408;CHAPA ACO - 1,25 X 1200 X 3000MM - NBR 7008 - Z100 - CRIST. MIN.;1200;3000;1;UN
CMPREST000313;CHAPA ACO - 1,55 X 1200 X 3000MM - ZAR280.ZAR320 .ZAR345 - Z100.Z140.Z180.Z225.Z275 - CRIST. MIN.;1200;3000;1;UN
CMPREST000168;CHAPA ACO - 1,95 X 1200 X 3000MM - ZAR280.ZAR320 .ZAR345 - Z100.Z140.Z180.Z225.Z275 - CRIST. MIN.;1200;3000;1;UN
CMPREST000108;CHAPA ACO - 3,00 X 1200 X 3000MM - ZAR280.ZAR320 .ZAR345 - Z100.Z140.Z180.Z225.Z275 - CRIST. MIN.;1200;3000;1;UN
CMPREST000071;CHAPA ACO - 8,00 X 1200 X 3000MM - NORMA A36 . CFQ250;1200;3000;1;UN
CMPREST000455;CHAPA ACO - 12,7 X 1200 X 3000MM - NORMA A36 . CFQ250;1200;3000;1;UN
CMPREST000170;CHAPA XADREZ ALUMINIO 5052 H314 2,7 X 1250 X 3000MM;1250;3000;1;UN
CMPREST000141;ACM BRANCO BRILHO 3MM 1.50M X 5MT;1500;5000;1;UN
CMPREST000044;CANTONEIRA L - ACO A36 1 X 1 X 1.8 POL BLOQUEADO OPCAO CMPREST000365;6000;1;101.6;UN
CMPREST000049;PERFIL W 200 X 22,5 - ACO ASTM A572 G50 - 12M;12000;1;477.6;UN
CMPREST000274;VIGA W - ACO A572 GRAU 50 - W 150 X 18 - 12000 MM;12000;1;360.4;UN
CMPREST000076;TUBO ACO QUADRADO 100 X 100 X 3,0MM - 6 METROS  NBR 8261 GRAU B;6000;1;594;UN
CMPREST000473;TUBO ACO QUADRADO 50 X 50 X 3,0MM - 6 METROS - NBR 8261 GRAU B;6000;1;294;UN
CMPREST000078;TUBO ACO QUADRADO 50 X 50 X 1,5MM - 6 METROS - NBR 8261 GRAU B;6000;1;297;UN
CMPREST000077;TUBO ACO QUADRADO 30 X 30 X 1,5MM - 6 METROS - NBR 8261 GRAU B;6000;1;177;UN
CMPREST000106;TUBO ACO QUADRADO 40 X 40 X 1,5MM - 6 METROS - NBR 8261 GRAU B;6000;1;237;UN
CMPREST000233;TUBO ACO RETANGULAR 60X40X3,0MM-6 METROS NBR 8261 GRAU B;6000;1;200;UN
CMPREST000365;CANTONEIRA 1 X 1X 1.8 - 6M - A36 . MR 250;6000;1;101.6;UN
CMPREST000082;PERFIL U 50 X 25 X 2,65MM - 6M - A36 . MR 250;6000;1;244.7;UN
CMPREST000164;BARRA REDONDA ACO SAE 1045 - 5.8 POLC  - 6 M;6000;1;49.9;UN
CMPREST000165;BARRA REDONDA BRONZE SAE 620 - 3.4 POLC  500 MM;500;1;59.9;UN
CMPREST000281;BARRA REDONDA ACO A36 1.2 POL 6 M;6000;1;39.9;UN
CMPREST000167;BARRA QUADRADA ACO SAE 1020 - 5.16 POL - 1 M;1000;1;31.8;UN
CMPREST000413;CHAPA ACO - 1,95 X 1500 X 3000MM - ZAR250.ZAR280.ZAR320 .ZAR345 - Z100.Z140.Z180.Z225.Z275 - CRIST. MIN.;1500;3000;1;UN
CMPREST000061;CHAPA ACO - 2,65 X 1500 X 3000MM - NORMA A36 . CFQ250;1500;3000;1;UN
CMPREST000110;CHAPA ASTMA36 1200MM 3000MM 4.75MM BLOQUEADO OPCAO CMPREST000058;1200;3000;1;UN
CMPREST000288;CHAPA ACO - 6,35 X 1200 X 3000MM - NORMA A36 . CFQ250;1200;3000;1;UN
CMPREST000453;PERFIL W 150 X 24,0 - ACO ASTM A572 G50 - 12M;12000;1;382.8;UN
CMPREST000310;PERFIL W 150 X 13,0 - ACO ASTM A572 G50 - 12M;12000;1;343.4;UN
CMPREST000175;CHAPA DE ACO CARBONO A36C 2.0 X 1500 XC  3000;1200;3000;1;UN
CCSMIND000351;BARRA DE ACO DE 1.2 C. 6 METROS;6000;1;39.9;UN
CMPREST000593;CABO ACO 3.8 6X19 SEALE AF 5.5TON MIN IPS GALV;1000;1;24.94;M
CMPREST000581;PLACA CIMENT. STEELFR SUPERBOARD ST 10MMX1.2MX2.4M;1200;2400;1;UN
CMPREST000583;MONTANTE STEEL FRAME 90X0.95X39-41X12X3M -ACO GALV;3000;1;1;UN
CMPREST000584;GUIA STEEL FRAME 92 X 0,95 X 38-39 X 3M - ACO GALV;3000;1;1;UN
CMPREST000588;HIPERTEC - HIPERTEC ROOF D=80MM L=3.4M W=1M MC9010 PURE WHITE FOTO ANEXO;3400;1000;1;UN
CMPREST000605;TUBO ACO GALVANIZADO C. COST. 38.1MM X1.55MM X 6M;6000;1;119.7;UN
CMPREST000058;CHAPA ACO - 4,75 X 1200 X 3000MM - NORMA A36/CFQ250;1200;3000;1;UN
CMPREST000234;TUBO REDONDO ACO INOX - 152,4 X 2,0MM - 6 METROS - AISI 304.316;6000;1;478.8;UN
