ACABAMENTO;TINTAS;;LETRA;CÓDIGO;DESCRIÇÃO;FATOR;MEDIDA;;;;
PINTURA LÍQUIDA BRANCO A+B+E;EBA;;B;TIN-00001-501;SIGMACOVER 2 HDR MUNSELL N 6,5 CINZA;0.0000003058;L;;;;
PINTURA LÍQUIDA BRANCO C+E;EC;;D;TIN-00002-501;TINTA PU SIGMADUR 550 PRETO RAL 9005;0.0000001667;L;;;;
PINTURA LÍQUIDA BRANCO C+G+E;EGC;;E;TIN-00003-501;TINTA PU SIGMADUR 550 BRANCO RAL 9003;0.0000001667;L;;;;
PINTURA LÍQUIDA BRANCO B+E;EB;;G;TIN-00004-501;TINTA INTUMESCENTE PPG STEELGUARD 651 WHITE;0.000001857;L;;;;
PINTURA LÍQUIDA CINZA B;B;;H;TIN-00005-501;TINTA PU SIGMADUR 550 LARANJA RAL 2004;0.0000001667;L;;;;
PINTURA LÍQUIDA CINZA A+B;BA;;I;TIN-00006-501;TINTA PU SIGMAFAST 278;0.0000003251;L;;;;
PINTURA LÍQUIDA CINZA C+B;BC;;J;TIN-00007-501;SIGMADUR 550 - BASE COR CINZA RAL 7035;0.0000001667;L;;;;
PINTURA LÍQUIDA AMARELO B+N;NB;;K;TIN-00008-501;TINTA INTUMESCENTE FIRETEX FX5090 BRANCO;0.000001857;L;;;;
PINTURA LÍQUIDA PRETO C+D;DC;;N;TIN-00009-501;SIGMADUR  AMARELO RAL 1003;0.0000001667;L;;;;
PINTURA LÍQUIDA LARANJA B+H;HB;;X;CMPREST000275;TINTA PÓ POLIESTER BRANCO PBS 10103;0.00000017;KG;;;;
TINTA INTUMESCENTE PPG STEELGUARD 651 WHITE;G;;Z;CMPREST000152;TINTA PÓ, POLIESTER PRETO PPS29902 MICROTEXTURIZADA, CX 25KG;0.000000155;KG;;;;
TINTA PÓ POLIESTER BRANCO PBS 10103;X;;;;;;;;;;
TINTA PÓ, PRETO RAL 9005, MICROTEXTURIZADA;Z;;;;;;;;;;
PINTURA LÍQUIDA CINZA - I;I;;;;;;;;;;
PINTURA LÍQUIDA CINZA - I+J;JI;;;;;;;;;;
PINTURA LÍQUIDA PRETA - I+D;DI;;;;;;;;;;
PINTURA LÍQUIDA BRANCA - I+E;EI;;;;;;;;;;
PINTURA INTUMESCENTE FIRETEX/FX5090 I+K;KI;;;;;;;;;;
PINTURA INTUMESCENTE STEELGUARD - I+G;GI;;;;;;;;;;
PINTURA LÍQUIDA LARANJA - I+H;HI;;;;;;;;;;
PINTURA LÍQUIDA AMARELA - I+N;NI;;;;;;;;;;
N/A;;;;;;;;;;;
